Field Observed_No_of_Epochs
RBPLJ0006-0623 18
RBPLJ0017+8135 31
RBPLJ0045+2127 76
RBPLJ0102+5824 24
RBPLJ0114+1325 63
RBPLJ0136+3905 7
RBPLJ0136+4751 67
RBPLJ0152+0146 11
RBPLJ0211+1051 65
RBPLJ0217+0837 68
RBPLJ0222+4302 26
RBPLJ0232+2017 9
RBPLJ0238+1636 22
RBPLJ0259+0747 34
RBPLJ0303-2407 12
RBPLJ0303+4716 16
RBPLJ0316+4119 8
RBPLJ0319+1845 10
RBPLJ0324+3410 27
RBPLJ0336+3218 6
RBPLJ0405-1308 22
RBPLJ0416+0105 4
RBPLJ0423-0120 25
RBPLJ0442-0017 20
RBPLJ0507+6737 15
RBPLJ0521+2112 27
RBPLJ0642+6758 25
RBPLJ0648+1516 4
RBPLJ0650+2502 5
RBPLJ0710+5908 12
RBPLJ0721+7120 60
RBPLJ0738+1742 12
RBPLJ0750+1231 12
RBPLJ0809+5218 5
RBPLJ0818+4222 10
RBPLJ0825+6157 14
RBPLJ0830+2410 13
RBPLJ0841+7053 35
RBPLJ0848+6606 24
RBPLJ0849+5108 6
RBPLJ0854+2006 39
RBPLJ0854+5757 12
RBPLJ0948+0022 7
RBPLJ0957+5522 13
RBPLJ0958+6533 20
RBPLJ1037+5711 25
RBPLJ1048+7143 47
RBPLJ1058+5628 19
RBPLJ1136+7009 18
RBPLJ1203+6031 26
RBPLJ1217+3007 16
RBPLJ1221+3010 8
RBPLJ1221+2813 9
RBPLJ1224+2436 7
RBPLJ1224+2122 8
RBPLJ1248+5820 28
RBPLJ1256-0547 22
RBPLJ1427+2348 12
RBPLJ1428+4240 13
RBPLJ1442+1200 11
RBPLJ1505+0326 22
RBPLJ1512-0905 104
RBPLJ1542+6129 72
RBPLJ1551+5806 43
RBPLJ1553+1256 48
RBPLJ1555+1111 119
RBPLJ1558+5625 49
RBPLJ1603+5730 33
RBPLJ1604+5714 39
RBPLJ1607+1551 40
RBPLJ1624+5652 38
RBPLJ1635+3808 109
RBPLJ1638+5720 42
RBPLJ1642+3948 45
RBPLJ1649+5235 49
RBPLJ1653+3945 77
RBPLJ1725+1152 90
RBPLJ1728+5013 13
RBPLJ1743+1935 12
RBPLJ1748+7005 97
RBPLJ1751+0939 98
RBPLJ1754+3212 78
RBPLJ1800+3848 34
RBPLJ1800+7828 85
RBPLJ1806+6949 88
RBPLJ1809+2041 47
RBPLJ1813+3144 71
RBPLJ1835+3241 62
RBPLJ1836+3136 43
RBPLJ1838+4802 44
RBPLJ1841+3218 41
RBPLJ1854+7351 31
RBPLJ1903+5540 77
RBPLJ1927+6117 41
RBPLJ1927+7358 28
RBPLJ1943+2118 12
RBPLJ1955+5131 17
RBPLJ1959+6508 94
RBPLJ2001+4352 19
RBPLJ2005+7752 77
RBPLJ2015-0137 40
RBPLJ2016+1632 27
RBPLJ2016-0903 37
RBPLJ2022+7611 74
RBPLJ2024+1718 25
RBPLJ2030-0622 69
RBPLJ2033+2146 18
RBPLJ2039-1046 43
RBPLJ2042+7508 44
RBPLJ2131-0915 40
RBPLJ2143+1743 77
RBPLJ2148+0657 75
RBPLJ2149+0322 35
RBPLJ2150-1410 32
RBPLJ2202+4216 140
RBPLJ2225-0457 34
RBPLJ2232+1143 110
RBPLJ2243+2021 79
RBPLJ2250+3825 8
RBPLJ2251+4030 50
RBPLJ2253+1608 164
RBPLJ2311+3425 49
RBPLJ2334+0736 35
RBPLJ2340+8015 48
RBPLJ2347+5142 11
