ObjectNo Epoch X-coord Y-coord RA Dec p error_p Theta q error_q u error_u mag error_mag
35.0 1.0 1806.2 1404.8 237.81918 58.06917 0.0042 0.00157 0.3203 0.00018 0.00269 -0.0042 0.00157 15.10842 0.0093
35.0 2.0 1809.8 1403.0 237.81931 58.06931 0.00815 0.00321 0.1377 0.00739 0.00343 -0.00345 0.00189 15.53479 0.04772
35.0 3.0 1809.0 1401.3 237.8193 58.06927 0.00756 0.00278 0.1578 0.00607 0.00321 -0.00451 0.00177 15.50326 0.07207
35.0 6.0 1807.4 1406.6 237.81918 58.06912 0.00849 0.00249 0.1086 0.0075 0.0027 -0.00398 0.00152 15.11518 0.02019
35.0 9.0 1805.0 1391.8 237.81917 58.06919 0.00768 0.00265 0.1455 0.00639 0.00294 -0.00425 0.00184 15.29294 0.12238
35.0 10.0 1810.9 1403.1 237.81915 58.06917 0.00868 0.00315 0.1245 0.0079 0.00336 -0.00359 0.00182 15.38591 0.09447
35.0 12.0 1812.9 1403.8 237.81916 58.06918 0.00649 0.00256 0.1593 0.00545 0.00286 -0.00351 0.00163 15.10921 0.02548
35.0 16.0 1811.9 1408.6 237.81928 58.06924 0.00675 0.00224 0.1125 0.00627 0.00235 -0.00251 0.00134 15.11672 0.02947
35.0 20.0 1813.9 1406.1 237.81922 58.06916 0.00767 0.00291 0.1384 0.00688 0.00312 -0.00339 0.0018 15.52965 0.04709
35.0 26.0 1809.8 1400.3 237.81929 58.06925 0.01863 0.00526 0.1879 -0.00902 0.00764 -0.01631 0.00428 15.11721 0.02491
35.0 27.0 1809.2 1402.6 237.81915 58.06922 0.00693 0.00263 0.1554 0.00578 0.00295 -0.00383 0.00169 15.12049 0.01543
35.0 28.0 1811.7 1402.1 237.81917 58.06919 0.01006 0.00297 0.2444 -0.00311 0.0051 -0.00957 0.00265 15.39048 0.09455
35.0 34.0 1805.2 1405.1 237.81902 58.06923 0.02461 0.00535 0.0856 0.02045 0.00611 -0.01368 0.00299 15.20485 0.13608
35.0 41.0 1807.2 1403.8 237.81895 58.06913 0.02447 0.00726 0.1925 0.01259 0.01045 -0.02098 0.00568 15.23877 0.14247
35.0 42.0 1810.4 1404.8 237.81924 58.06927 0.17489 0.00739 0.0304 -0.0354 0.01077 -0.17127 0.00721 15.08304 0.33838
